,tech,tech,tech,tech,finance,finance,finance,finance,pharma,pharma,pharma,pharma,food,food,food,food,education,education,education,education,energy,energy,energy,energy
,MSFT,GOOGL,META,NVDA,JPM,BAC,MA,V,JNJ,PFE,MRK,AZN,YUM,MCD,SBUX,DPZ,UDMY,DUOL,COUR,CHGG,XOM,CVX,SHEL,NEE
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,174.57000732421875,65.86599731445312,202.27000427246094,7.069499969482422,93.25,23.079999923706055,268.739990234375,175.57000732421875,148.2899932861328,35.71157455444336,74.11259460449219,51.86000061035156,83.80999755859375,182.66000366210938,73.79000091552734,357.29998779296875,,,,42.36000061035156,43.13999938964844,89.44000244140625,31.290000915527344,56.76250076293945
2020-05-04,178.83999633789062,66.1449966430664,205.25999450683594,7.282249927520752,92.13999938964844,22.93000030517578,269.260009765625,176.14999389648438,148.27000427246094,35.69260025024414,73.3396987915039,52.349998474121094,83.08999633789062,181.8699951171875,71.88999938964844,359.1000061035156,,,,43.790000915527344,44.880001068115234,91.44000244140625,32.75,57.522499084472656
2020-05-05,180.75999450683594,67.45099639892578,207.07000732421875,7.343500137329102,92.0,22.65999984741211,273.9800109863281,178.44000244140625,149.5,36.53700256347656,74.43701934814453,53.470001220703125,83.27999877929688,179.24000549316406,72.9000015258789,371.4599914550781,,,,57.91999816894531,44.83000183105469,92.88999938964844,33.06999969482422,57.525001525878906
2020-05-06,182.5399932861328,67.27149963378906,208.47000122070312,7.44474983215332,90.2699966430664,22.350000381469727,272.44000244140625,178.77999877929688,148.0800018310547,36.53700256347656,73.58778381347656,54.040000915527344,83.16999816894531,176.97000122070312,72.95999908447266,372.29998779296875,,,,60.400001525878906,43.9900016784668,90.05000305175781,32.060001373291016,55.665000915527344
2020-05-07,183.60000610351562,68.46399688720703,211.25999450683594,7.6217498779296875,91.20999908447266,22.84000015258789,278.4700012207031,182.72000122070312,147.58999633789062,35.06641387939453,72.13740539550781,52.7400016784668,84.5999984741211,181.1199951171875,76.0,367.1700134277344,,,,59.38999938964844,44.2400016784668,92.63999938964844,32.529998779296875,56.119998931884766
2020-05-08,184.67999267578125,69.21700286865234,212.35000610351562,7.8125,92.69999694824219,23.56999969482422,282.44000244140625,185.08999633789062,148.6999969482422,35.31309127807617,72.90076446533203,53.290000915527344,86.18000030517578,181.22999572753906,77.87000274658203,369.1099853515625,,,,63.130001068115234,46.18000030517578,95.47000122070312,33.90999984741211,57.432498931884766
2020-05-11,186.74000549316406,70.17949676513672,213.17999267578125,8.065500259399414,89.97000122070312,22.579999923706055,281.2300109863281,183.55999755859375,149.11000061035156,36.148006439208984,74.34160614013672,53.95000076293945,86.37000274658203,180.8800048828125,75.87000274658203,377.489990234375,,,,61.16999816894531,45.7400016784668,93.37000274658203,32.7599983215332,56.845001220703125
2020-05-12,182.50999450683594,68.75900268554688,210.10000610351562,7.802499771118164,87.02999877929688,21.8700008392334,272.1099853515625,179.47000122070312,147.13999938964844,35.445919036865234,73.65457916259766,54.11000061035156,84.0,176.5399932861328,74.3499984741211,377.94000244140625,,,,61.90999984741211,44.119998931884766,91.0999984741211,32.209999084472656,56.98249816894531
2020-05-13,179.75,67.41649627685547,205.10000610351562,7.78000020980835,84.02999877929688,20.8700008392334,269.1600036621094,177.08999633789062,147.1300048828125,35.15180206298828,74.32251739501953,55.310001373291016,80.44000244140625,172.82000732421875,73.62000274658203,384.9599914550781,,,,64.80999755859375,41.93000030517578,88.69999694824219,31.040000915527344,57.529998779296875
2020-05-14,180.52999877929688,67.84300231933594,206.80999755859375,8.030500411987305,87.5199966430664,21.709999084472656,277.30999755859375,180.89999389648438,147.63999938964844,35.977230072021484,76.38359069824219,53.5,83.29000091552734,175.41000366210938,74.19000244140625,376.010009765625,,,,65.30000305175781,42.29999923706055,90.05000305175781,30.170000076293945,58.057498931884766
2020-05-15,183.16000366210938,68.65299987792969,210.8800048828125,8.490750312805176,85.9000015258789,21.440000534057617,278.94000244140625,183.49000549316406,150.44000244140625,35.8254280090332,76.1259536743164,53.40999984741211,84.9000015258789,173.80999755859375,74.16000366210938,376.0400085449219,,,,66.66000366210938,42.0,89.16000366210938,30.1299991607666,56.962501525878906
2020-05-18,184.91000366210938,69.25900268554688,213.19000244140625,8.750249862670898,90.44999694824219,22.93000030517578,289.8999938964844,191.3800048828125,150.52000427246094,36.119544982910156,76.0687026977539,53.45000076293945,86.76000213623047,179.8300018310547,76.2300033569336,364.5,,,,62.20000076293945,45.34000015258789,92.55000305175781,32.81999969482422,58.86249923706055
2020-05-19,183.6300048828125,68.72000122070312,216.8800048828125,8.805500030517578,88.66999816894531,22.209999084472656,290.7300109863281,189.36000061035156,149.02000427246094,35.74952697753906,73.99809265136719,53.56999969482422,86.86000061035156,179.57000732421875,75.86000061035156,370.010009765625,,,,61.029998779296875,43.939998626708984,89.62000274658203,32.15999984741211,57.625
2020-05-20,185.66000366210938,70.45800018310547,229.97000122070312,8.970000267028809,91.33000183105469,22.90999984741211,298.79998779296875,193.86000061035156,147.67999267578125,35.70208740234375,73.36832427978516,53.779998779296875,88.08999633789062,184.10000610351562,77.76000213623047,377.239990234375,,,,63.0099983215332,45.369998931884766,93.0,33.45000076293945,58.1974983215332
2020-05-21,183.42999267578125,70.3375015258789,231.38999938964844,8.775250434875488,90.16999816894531,22.899999618530273,294.260009765625,190.6199951171875,146.7100067138672,35.351043701171875,73.04389190673828,55.279998779296875,88.01000213623047,185.0800018310547,78.05000305175781,375.239990234375,,,,62.790000915527344,44.560001373291016,92.04000091552734,32.439998626708984,57.224998474121094
2020-05-22,183.50999450683594,70.66200256347656,234.91000366210938,9.026249885559082,89.47000122070312,22.65999984741211,294.9100036621094,190.86000061035156,144.3699951171875,35.5787467956543,72.87213897705078,55.220001220703125,87.25,184.41000366210938,77.62000274658203,372.1000061035156,,,,64.91000366210938,44.599998474121094,90.27999877929688,32.2400016784668,58.462501525878906
2020-05-26,181.57000732421875,71.06849670410156,232.1999969482422,8.71774959564209,95.81999969482422,24.280000686645508,303.3299865722656,193.22000122070312,144.55999755859375,35.56925964355469,73.72137451171875,53.11000061035156,88.05000305175781,184.83999633789062,77.76000213623047,360.1600036621094,,,,62.099998474121094,45.90999984741211,93.30000305175781,32.689998626708984,58.57749938964844
2020-05-27,181.80999755859375,71.01399993896484,229.13999938964844,8.525250434875488,101.37000274658203,25.979999542236328,299.7699890136719,192.82000732421875,144.88999938964844,35.49335861206055,73.99809265136719,52.470001220703125,90.23999786376953,187.72000122070312,78.5999984741211,373.9700012207031,,,,60.7400016784668,46.2400016784668,93.9000015258789,32.97999954223633,60.282501220703125
